# Fix print output for fix myfixTypes
24,10,46,373,27
26,8,46,373,27
25,9,46,373,27
26,7,47,373,27
23,9,48,373,27
22,7,51,373,27
22,7,51,373,27
18,12,50,373,27
16,11,53,373,27
16,11,53,373,27
16,13,51,373,27
23,5,52,372,28
25,4,51,373,27
24,4,52,373,27
21,7,52,373,27
21,7,52,372,28
21,8,51,372,28
22,7,51,372,28
23,8,49,372,28
25,7,48,372,28
27,4,49,372,28
28,5,47,371,29
29,5,46,371,29
24,11,45,372,28
26,11,43,372,28
24,12,44,372,28
26,11,43,372,28
26,14,40,372,28
24,12,44,372,28
22,12,46,372,28
23,10,47,371,29
22,13,45,371,29
22,10,48,371,29
23,9,48,372,28
21,11,48,372,28
23,9,48,372,28
22,11,47,372,28
20,13,47,372,28
19,12,49,373,27
16,13,51,373,27
19,10,51,373,27
23,8,49,373,27
20,14,46,372,28
20,16,44,372,28
24,12,44,372,28
26,10,44,372,28
24,14,42,372,28
26,13,41,372,28
26,15,39,373,27
26,16,38,373,27
30,11,39,373,27
30,7,43,373,27
30,7,43,373,27
30,8,42,373,27
28,9,43,373,27
28,12,40,373,27
30,9,41,374,26
31,10,39,375,25
31,9,40,375,25
29,11,40,375,25
32,9,39,375,25
29,13,38,375,25
27,14,39,375,25
26,13,41,375,25
27,10,43,375,25
25,9,46,375,25
24,11,45,375,25
25,7,48,374,26
25,10,45,373,27
26,10,44,373,27
27,11,42,373,27
26,14,40,373,27
28,12,40,373,27
29,12,39,373,27
28,13,39,373,27
28,14,38,373,27
29,13,38,373,27
32,11,37,373,27
27,17,36,373,27
26,15,39,373,27
26,13,41,373,27
26,13,41,373,27
25,15,40,373,27
23,13,44,373,27
24,10,46,372,28
25,9,46,372,28
24,7,49,373,27
20,14,46,373,27
20,16,44,373,27
22,15,43,373,27
22,15,43,373,27
21,15,44,373,27
21,15,44,373,27
22,16,42,373,27
23,15,42,373,27
22,15,43,373,27
25,10,45,373,27
25,12,43,373,27
26,8,46,373,27
28,9,43,372,28
27,10,43,372,28
29,9,42,372,28
29,7,44,372,28
28,10,42,372,28
28,12,40,372,28
25,15,40,372,28
23,18,39,372,28
26,16,38,372,28
27,15,38,372,28
28,13,39,372,28
28,12,40,371,29
26,17,37,371,29
28,15,37,371,29
25,20,35,372,28
28,14,38,372,28
31,11,38,372,28
29,12,39,372,28
29,11,40,372,28
28,10,42,371,29
30,10,40,372,28
30,10,40,372,28
29,13,38,373,27
28,16,36,373,27
30,14,36,372,28
29,15,36,371,29
30,12,38,372,28
28,14,38,371,29
30,10,40,370,30
32,10,38,371,29
35,6,39,370,30
31,10,39,371,29
30,9,41,371,29
30,7,43,371,29
30,5,45,371,29
30,6,44,371,29
28,7,45,371,29
30,6,44,371,29
32,6,42,370,30
33,4,43,371,29
32,5,43,371,29
31,6,43,371,29
33,5,42,371,29
34,6,40,371,29
36,3,41,371,29
36,4,40,371,29
32,9,39,370,30
33,8,39,371,29
31,8,41,371,29
29,8,43,371,29
30,9,41,371,29
32,7,41,371,29
35,6,39,371,29
33,8,39,371,29
33,7,40,371,29
34,6,40,371,29
33,9,38,371,29
32,9,39,371,29
35,6,39,371,29
37,4,39,371,29
36,7,37,370,30
38,5,37,370,30
34,5,41,370,30
34,6,40,370,30
34,7,39,370,30
31,10,39,370,30
30,12,38,370,30
32,9,39,370,30
31,13,36,371,29
28,15,37,371,29
31,14,35,371,29
31,11,38,372,28
33,10,37,370,30
35,9,36,371,29
33,11,36,371,29
34,10,36,372,28
33,13,34,374,26
30,15,35,373,27
32,13,35,372,28
31,13,36,373,27
30,15,35,373,27
32,13,35,372,28
30,12,38,372,28
31,10,39,373,27
33,7,40,373,27
31,8,41,373,27
29,7,44,373,27
32,6,42,373,27
32,7,41,373,27
34,4,42,373,27
32,7,41,373,27
31,10,39,373,27
32,11,37,372,28
32,13,35,373,27
33,9,38,373,27
34,9,37,373,27
33,9,38,373,27
34,6,40,373,27
31,8,41,373,27
32,6,42,373,27
35,4,41,373,27
35,1,44,373,27
35,2,43,372,28
32,9,39,372,28
35,7,38,372,28
35,8,37,372,28
36,9,35,372,28
35,9,36,372,28
33,11,36,372,28
35,12,33,372,28
30,14,36,372,28
27,16,37,372,28
29,10,41,371,29
30,9,41,371,29
29,11,40,371,29
29,11,40,372,28
31,12,37,372,28
